,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,new_cumulative_cases
157404,2021-07-16,US,United States of America,AMRO,38361,33812685,338,604296,0
157405,2021-07-17,US,United States of America,AMRO,40447,33853132,336,604632,40447
157406,2021-07-18,US,United States of America,AMRO,42185,33895317,383,605015,82632
157407,2021-07-19,US,United States of America,AMRO,31321,33926638,184,605199,113953
157408,2021-07-20,US,United States of America,AMRO,28236,33954874,154,605353,142189
157409,2021-07-21,US,United States of America,AMRO,45648,34000522,297,605650,187837
157410,2021-07-22,US,United States of America,AMRO,50924,34051446,337,605987,238761
157411,2021-07-23,US,United States of America,AMRO,61312,34112758,400,606387,300073
157412,2021-07-24,US,United States of America,AMRO,72792,34185550,353,606740,372865
157413,2021-07-25,US,United States of America,AMRO,68437,34253987,439,607179,441302
157414,2021-07-26,US,United States of America,AMRO,53005,34306992,269,607448,494307
157415,2021-07-27,US,United States of America,AMRO,43003,34349995,263,607711,537310
157416,2021-07-28,US,United States of America,AMRO,71457,34421452,446,608157,608767
157417,2021-07-29,US,United States of America,AMRO,86004,34507456,533,608690,694771
157418,2021-07-30,US,United States of America,AMRO,89127,34596583,518,609208,783898
157419,2021-07-31,US,United States of America,AMRO,99015,34695598,524,609732,882913
157420,2021-08-01,US,United States of America,AMRO,104539,34800137,681,610413,987452
157421,2021-08-02,US,United States of America,AMRO,80918,34881055,395,610808,1068370
157422,2021-08-03,US,United States of America,AMRO,62400,34943455,368,611176,1130770
157423,2021-08-04,US,United States of America,AMRO,103453,35046908,678,611854,1234223
157424,2021-08-05,US,United States of America,AMRO,110498,35157406,722,612576,1344721
157425,2021-08-06,US,United States of America,AMRO,123184,35280590,760,613336,1467905
157426,2021-08-07,US,United States of America,AMRO,128325,35408915,772,614108,1596230
157427,2021-08-08,US,United States of America,AMRO,133221,35542136,871,614979,1729451
157428,2021-08-09,US,United States of America,AMRO,119164,35661300,603,615582,1848615
157429,2021-08-10,US,United States of America,AMRO,96373,35757673,562,616144,1944988
157430,2021-08-11,US,United States of America,AMRO,93700,35851373,751,616895,2038688
157431,2021-08-12,US,United States of America,AMRO,136166,35987539,1007,617902,2174854
157432,2021-08-13,US,United States of America,AMRO,143724,36131263,605,618507,2318578
157433,2021-08-14,US,United States of America,AMRO,150476,36281739,1006,619513,2469054
157434,2021-08-15,US,United States of America,AMRO,145678,36427417,1181,620694,2614732
157435,2021-08-16,US,United States of America,AMRO,138048,36565465,848,621542,2752780
157436,2021-08-17,US,United States of America,AMRO,110046,36675511,651,622193,2862826
157437,2021-08-18,US,United States of America,AMRO,110051,36785562,840,623033,2972877
157438,2021-08-19,US,United States of America,AMRO,150739,36936301,1205,624238,3123616
157439,2021-08-20,US,United States of America,AMRO,168833,37105134,1457,625695,3292449
157440,2021-08-21,US,United States of America,AMRO,173840,37278974,1360,627055,3466289
157441,2021-08-22,US,United States of America,AMRO,166865,37445839,1562,628617,3633154
157442,2021-08-23,US,United States of America,AMRO,142403,37588242,1134,629751,3775557
157443,2021-08-24,US,United States of America,AMRO,126262,37714504,862,630613,3901819
157444,2021-08-25,US,United States of America,AMRO,117204,37831708,1165,631778,4019023
157445,2021-08-26,US,United States of America,AMRO,163071,37994779,1605,633383,4182094
157446,2021-08-27,US,United States of America,AMRO,176924,38171703,1628,635011,4359018
157447,2021-08-28,US,United States of America,AMRO,186198,38357901,1751,636762,4545216
157448,2021-08-29,US,United States of America,AMRO,182071,38539972,1843,638605,4727287
157449,2021-08-30,US,United States of America,AMRO,150784,38690756,1412,640017,4878071
157450,2021-08-31,US,United States of America,AMRO,117768,38808524,1136,641153,4995839
157451,2021-09-01,US,United States of America,AMRO,134283,38942807,1228,642381,5130122
157452,2021-09-02,US,United States of America,AMRO,176721,39119528,1757,644138,5306843
